DIRECTORIO	NRO_ENCUESTA	HOGAR_NUMERO	PERSONA_NUMERO	P606	P203	P203S1	FEX_P
18929	252	1	2	4	2		703.338858443361
18929	252	1	3	1	1	700000	703.338858443361
18929	252	1	4	2	2		703.338858443361
18929	252	1	6	1	1	700000	703.338858443361
18929	252	1	7	4	2		703.338858443361
18930	252	1	1	1	1	600000	745.375817339374
18930	252	1	2	1	1	1950000	745.375817339374
18931	252	1	1	1	1	700000	795.096364088982
18932	252	1	1	1	1	800000	561.700927567512
18932	252	1	2	1	1	750000	561.700927567512
18932	252	1	3	1	1	800000	561.700927567512
18933	252	1	1	4	2		448.305687322228
18933	252	1	2	1	1	600000	448.305687322228
18934	252	1	1	1	1	300000	443.412476412396
18935	252	1	1	1	1	700000	323.412280136211
18935	252	1	2	4	2		323.412280136211
18935	252	1	3	3	2		323.412280136211
18935	252	1	4	3	2		323.412280136211
18936	252	1	1	6	1	750000	502.919444981668
18936	252	1	2	4	2		502.919444981668
18937	252	1	1	1	1	600000	865.784942949799
18937	252	1	2	4	2		865.784942949799
18937	252	2	1	1	1	600000	865.784942949799
18937	252	2	2	4	2		865.784942949799
18937	252	2	5	1	1	400000	865.784942949799
18938	252	1	1	1	1	600000	865.784942949799
18938	252	1	2	4	2		865.784942949799
18938	252	1	5	1	1	360000	865.784942949799
18938	252	1	6	1	1	600000	865.784942949799
18938	252	1	9	3	2		865.784942949799
18939	252	1	1	1	1	1000000	553.885750593905
18939	252	1	2	4	2		553.885750593905
18939	252	1	3	1	1	800000	553.885750593905
18940	252	1	1	2	2		556.80771665768
18940	252	1	2	1	1	600000	556.80771665768
18941	252	1	1	6	1	750000	302.566537467703
18941	252	1	2	4	2		302.566537467703
18941	252	1	3	1	1	1200000	302.566537467703
18941	252	1	4	3	2		302.566537467703
18941	252	1	5	4	2		302.566537467703
18942	252	1	1	1	1	780000	610.026285845238
18943	252	1	1	1	1	800000	1043.17143333995
18943	252	1	2	4	2		1043.17143333995
18944	252	1	1	1	1	1000000	799.989574998814
18944	252	1	2	2	2		799.989574998814
18945	252	1	1	1	1	800000	463.655022540179
18945	252	1	2	4	2		463.655022540179
18945	252	1	3	1	1	700000	463.655022540179
18945	252	1	4	3	2		463.655022540179
18945	252	1	5	3	2		463.655022540179
18945	252	1	6	3	2		463.655022540179
18946	252	1	1	1	2		692.733304525991
18946	252	1	2	4	2		692.733304525991
18946	252	1	3	1	1	600000	692.733304525991
18946	252	1	4	1	1	600000	692.733304525991
18947	252	1	1	1	1	900000	694.128492997873
18947	252	1	2	1	1	600000	694.128492997873
18947	252	1	4	1	1	400000	694.128492997873
18947	252	1	5	1	1	400000	694.128492997873
18947	252	1	6	1	1	300000	694.128492997873
18948	252	1	1	1	1	750000	427.597154936006
